Q100	city in and state capital of Massachusetts, United States
Q4817884	episode of Star Trek: The Next Generation (S7 E8)
Q4818096	community in Paphos District, Republic of Cyprus
Q481810	Italian comune
Q4818148	Numbered Highway in Tennessee, United States
Q481832	American actress and singer
Q4818326	community in Paphos District, Republic of Cyprus
Q4818374	community in Paphos District, Republic of Cyprus
Q4818415	community in Paphos District, Republic of Cyprus
Q4818441	community in Paphos District, Republic of Cyprus
Q481858	Italian comune
Q481879	Italian comune
Q481890	Italian comune
Q481898	Italian comune
Q48190	Italian comune
Q481906	Italian comune
Q481924	short track speed skater
Q481925	American businesswoman
Q48194	city in the Czech Republic
Q4819492	art museum in Auckland, New Zealand
Q48195	capital of Basra Governorate, in southern Iraq
Q4821512	politician
Q4822244	Italian painter (1675-1749)
Q48234	Italian comune
Q482386	city in Washingon County, Utah, United States
Q482406	professional association football club based in Seoul, South Korea
Q482408	city in Utah County, Utah, United States
Q48241	Italian comune
Q48243	Italian comune
Q482435	city in Utah County, Utah, United States
Q48244	autobiographical manifesto by the National Socialist leader Adolf Hitler
Q48246	German biologist, naturalist, philosopher, physician, and artist (1834-1919)
Q482468	town in Washington County, Utah, United States
Q48250	Italian comune
Q482504	city in Utah County, Utah, United States
Q482513	human spaceflight
Q482518	city in Salt Lake County, Utah, United States
Q482540	professional association football club in Seongnam, South Korea
Q482545	1999 film by Rob Reiner
Q482552	city in Utah County, Utah, United States
Q48256	city and administrative centre of the Dnipropetrovsk Oblast in central Ukraine
Q4825818	Canadian ice hockey defenceman
Q4825905	episode of Star Trek: Voyager (S7 E20)
Q482606	city in Weber County, Utah, United States
Q482609	city in Utah County, Utah, United States
Q482618	city in Utah County, Utah, United States
Q482626	1990 film directed by Adrian Lyne
Q482646	city in Washington County, Utah, United States
Q48265	former municipality in Møre og Romsdal, Norway
Q482657	city in Cache County, Utah, United States
Q482662	1999 film by Oliver Stone
Q482693	city in Weber County, Utah, United States
Q48274	city in New Hampshire
Q482758	city in Washington County, Utah, United States
Q48276	municipality in Trøndelag, Norway
Q482764	Saudi Arabian association football club
Q4827721	Italian painter (1552-1629)
Q48278	city in Colombia, capital of Colombian department Antioquia
Q4827920	community in Larnaca District, Republic of Cyprus
Q482822	city in Salt Lake County, Utah, United States
Q482828	city in and county seat fo Uintah County, Utah, United States
Q482842	city in Utah County, Utah, United States
Q482869	city in Salt Lake County, Utah, United States
Q482879	city in Utah County, Utah, United States
Q482888	city in Salt Lake and Utah counties in Utah, United States
Q4829069	metro station in Oslo, Norway
Q482931	Hungarian-Spanish association football player (1927–2006)
Q482941	city in Utah County, Utah, United States
Q482947	Portuguese association football player
Q482955	Dutch association football player
Q482962	city in Salt Lake and Utah counties in Utah, United States
Q48299	municipality in Vestland, Norway
Q482993	city in Summit County, Utah, United States
Q4829987	railway station in Komatsu, Ishikawa prefecture, Japan
Q483000	city in and county seat of Davis County, Utah, United States
Q48301	German philosopher
Q483020	association football club in Paris, France
Q483027	Italian association football player
Q4830720	community in Paphos District, Republic of Cyprus
Q4830902	railway station in Nara, Nara prefecture, Japan
Q483093	Costa Rican footballer
Q483102	circle of latitude
Q483118	American film actor, director and screenwriter
Q4831282	community in Limassol District, Republic of Cyprus
Q4831284	community in Paphos District, Republic of Cyprus
Q4831288	community in Limassol District, Republic of Cyprus
Q4831290	community in Paphos District, Republic of Cyprus
Q4831291	community in Paphos District, Republic of Cyprus
Q4831295	community in Limassol District, Republic of Cyprus
Q4831298	community in Paphos District, Republic of Cyprus
Q4831300	community in Limassol District, Republic of Cyprus
Q4831305	community in Limassol District, Republic of Cyprus
Q4831306	community in Limassol District, Republic of Cyprus
Q4831309	community in Limassol District, Republic of Cyprus
Q4831311	community in Limassol District, Republic of Cyprus
Q4831312	community in Paphos District, Republic of Cyprus
Q483137	Czech football goalkeeper
Q483145	Portuguese football player
Q483148	American actor (1957-2012)
Q483152	association football club
Q483159	river in Kyrgyzstan, Uzbekistan, Tajikistan, Kazakhstan
Q48316	municipality in Vestland, Norway
Q48319	German artist and printmaker (1497-1543)
Q48320	capital city of Hyōgo Prefecture, Japan
Q4832296	episode of Star Trek: Enterprise (S3 E18)
Q48323	municipality in Nordland, Norway
Q483246	Russian footballer
Q48325	municipality in Troms og Finnmark, Norway
Q483252	city in Iron County, Utah, United States
Q483256	city in Weber County, Utah, United States
Q48326	prefecture of Japan
Q483278	city in Davis County, Utah, United States
Q483282	city in Utah County, Utah, United States
Q48329	capital of Åland, Finland
Q483292	city in Utah County, Utah, United States
Q483297	city in Utah County, Utah, United States
Q48330	Italian association football player and manager
Q483309	Spanish association football player
Q483325	American comedian, television host, actress, writer, and producer
Q48333	former municipality in Troms, Norway
Q48335	island portion of Newfoundland and Labrador, Canada
Q483354	town of the United States
Q483364	city in Emery County, Utah, United States
Q48337	American actor, film director, and narrator
Q48338	city in Turkey
Q483391	island in the United States of America
Q4834063	American ice hockey player
Q48341	municipality in Nordland, Norway
Q483417	English association football player (born 1978)
Q48344	municipality of Pernambuco State, Brazil
Q483471	South Korean association football player
Q483510	South Korean footballer
Q483522	city in Austria
Q4835326	Hall of Fame and building in British Columbia, Canada
Q483539	city in and county seat of Deer Lodge County, Montana, United States
Q48355	Russian footballer (1930-1999)
Q483551	U.S. discount retailer based in Arkansas
Q483577	Brazilian association football player
Q483583	English association football player (born 1970)
Q483586	town in Washington County, Utah, United States
Q48359	strait between the Malay Peninsula and the Indonesian island of Sumatra
Q483595	city in Skagit County, Washington, United States
Q483607	tributary of the Potomac River in Maryland and Washington, D.C.
Q483629	Dutch association football player and manager
Q48364433	American-Hungarian engineer recruiter who competed in the 2018 Winter Olympics as a freestyle skier, being inexperienced for the competition
Q48370	city in Hillsborough County, New Hampshire, USA
Q4837139	lake in Germany
Q483738	basketball team
Q4837696	episode of Star Trek: Enterprise (S4 E12)
Q483771	American actor
Q483815	2001 film directed by Andrew Adamson and Vicky Jenson
Q4838336	1983 film by John Sayles
Q483837	Croatian association football player
Q483847	county in Texas, United States
Q483852	1993 American comedy film directed by Chris Columbus
Q483857	county in Oklahoma, United States
Q483862	county in Mississippi, United States
Q483871	municipality in Vestfold, Norway
Q483885	municipality in Troms og Finnmark, Norway
Q483893	county in Texas, United States
Q483895	county in Texas, United States
Q483899	municipality in Møre og Romsdal, Norway
Q483906	municipality in Viken, Norway
Q483907	American actor, comedian, musician, music producer, and YouTuber
Q483916	county in Texas, United States
Q4839171	1941 film by Robert Stevenson
Q483923	county in Ohio, United States
Q48393	municipality in Viken, Norway
Q483932	county in Idaho, United States
Q483937	county in Texas, United States of America
Q483941	1993 film by Steven Spielberg
Q483942	county in Illinois, United States
Q483950	county in the state of Washington, United States
Q483954	county in the state of Washington, United States
Q483958	county in the state of Washington, United States
Q483959	American worldwide online payments system
Q483964	municipality in Troms og Finnmark, Norway
Q483969	municipality in Viken, Norway
Q483973	county in Wyoming, United States
Q483977	municipality in Vestland, Norway
Q483982	county in the southeastern corner of Wyoming, United States
Q483986	municipality in Viken, Norway
Q483990	county in the state of Washington, United States
Q484001	municipality in Viken, Norway
Q484008	municipality in Vestland, Norway
Q484012	municipality in Nordland, Norway
Q484015	county in the state of Washington, United States
Q484018	municipality in Denmark
Q484020	British comedy television series
Q484038	municipality of Denmark
Q484043	municipality in Nordland, Norway
Q484046	former municipality in Møre og Romsdal in Norway
Q484052	municipality in Vestfold og Telemark, Norway
Q484064	municipality in Innlandet, Norway
Q4840668	episode of Star Trek: Deep Space Nine (S7 E15)
Q484070	municipality in Vestland, Norway
Q484074	municipality in Innlandet, Norway
Q484077	former municipality in Hordaland in Norway
Q484080	municipality in Vestland, Norway
Q484088	municipality in Trøndelag, Norway
Q484093	municipality in Innlandet, Norway
Q484097	municipality in Nordland, Norway
Q48410	American actor
Q484101	former municipality in Sogn og Fjordane, Norway
Q484106	former municipality in Trøndelag, Norway
Q484111	municipality in Møre og Romsdal, Norway
Q484116	municipality in Innlandet, Norway
Q484124	county in Illinois, United States
Q484128	former municipality in Møre og Romsdal, Norway
Q484133	county in Wisconsin, United States
Q48414	municipality in Innlandet, Norway
Q484142	county in western Wyoming, United States
Q484150	county in the state of Washington, United States
Q484153	county in the state of Washington, United States
Q484156	county in Wyoming, United States
Q484159	county in the state of Washington, United States
Q4841803	Algerian association football player
Q484183	county in Texas, United States
Q484186	former municipality in Hordaland, Norway
Q484191	former municipality in Trøndelag, Norway
Q484194	county in Wyoming, United States
Q484208	municipality in Nordland, Norway
Q484213	municipality in Vestland, Norway
Q484218	municipality in Innlandet, Norway
Q484222	county in south-central Utah, United States
Q484224	county in Illinois, United States
Q484231	county in South Dakota, United States
Q484234	county in South Dakota, United States of America
Q484243	former municipality in Trøndelag, Norway
Q484245	autonomous republic in Uzbekistan
Q484247	county in Georgia, United States
Q484252	municipality in Nordland, Norway
Q484257	municipality in Trøndelag, Norway
Q484263	county in Illinois, United States
Q484268	county in Wyoming, United States
Q48426827	cycling race
Q484273	county in Illinois, United States
Q484290	county in New Mexico, United States
Q4842936	Thai princess
Q484294	county in Florida, United States of America
Q484296	county in New Mexico, United States
Q484300	county in Missouri, United States
Q484309	former municipality in Rogaland, Norway
Q484313	former municipality in Sogn og Fjordane, Norway
Q48432	1930 edition of the FIFA World Cup
Q484322	municipality in Nordland, Norway
Q484330	county in Oregon, United States
Q484335	San José de Mayo
Q484340	county in Nevada, United States
Q484342	county in Nevada, United States
Q484346	county in Oregon, United States
Q484349	county in Nevada, United States
Q484354	county in Oregon, United States
Q484361	county in Oregon, United States
Q484365	American actor, writer, producer, director, novelist, and singer-songwriter
Q484367	county in Oregon, United States
Q484371	county in Oregon, United States
Q484378	county in Oregon, United States
Q48438	4th-century Christian saint and martyr
Q484381	county in Nevada, United States
Q484384	Portuguese footballer
Q484385	county in Oregon, United States
Q484388	county in Oregon, United States
Q484391	county in Oregon, United States
Q484395	county in Oregon, United States
Q484398	county in Nevada, United States
Q484401	county in Nevada, United States
Q484404	county in Oregon, United States
Q484408	county in Oregon, United States
Q484411	county in Oregon, United States
Q484418	county in Nevada, United States
Q484420	county in Oregon, United States
Q484431	county in Nevada, United States
Q4844399	1934 film by William A. Wellman
Q484442	2002 superhero film directed by Sam Raimi
Q484450	county in South Dakota, United States
Q484452	county in Missouri, United States
Q484457	county in Missouri, United States of America
Q484461	county in Missouri, United States
Q484465	county in New Mexico, United States
Q484470	county in Nebraska, United States
Q484473	footballer
Q484474	county in northwestern Missouri, United States
Q484478	county in Missouri, United States
Q484482	county in New Mexico, United States
Q484493	county in Missouri, United States
Q484496	county in New Mexico, United States
Q484505	county in Missouri, United States
Q484513	county in Montana, United States
Q484521	county in Texas, United States
Q484523	American actor and musician
Q484527	county in Wyoming, United States
Q484530	county in Nebraska, United States
Q484535	county in Texas, United States
Q484538	county in Oregon, United States
Q484542	county in Texas, United States
Q484548	county in northwestern Utah, United States
Q484551	county in Texas, United States
Q484556	county in northern Utah, United States
Q484559	county in northeastern Utah, United States
Q48456	Italian comune
Q484563	county in northern Utah, United States
Q48457	Italian comune
Q484570	county in Texas, United States
Q4845729	American football player
Q484574	county in Texas, United States
Q484577	county in central Utah, United States
Q484578	union republic of the Soviet Union
Q48458	Italian comune
Q484590	county in Oklahoma, United States
Q484596	county in Oklahoma, United States
Q484600	county in Oklahoma, United States
Q484603	county in Oklahoma, United States
Q484615	American actor and writer
Q484616	county in Oklahoma, United States
Q48462	Italian comune
Q484620	county in Missouri, United States
Q484624	county in Missouri, United States
Q484629	county in Missouri, United States
Q484633	county in South Dakota, United States
Q484639	county in North Carolina, United States of America
Q484643	county in Mississippi, United States
Q484659	county in Mississippi, United States
Q484662	British-born American actor
Q484664	county in North Carolina, United States
Q4846664	1941 film by Ray Enright
Q484668	county in Mississippi, United States
Q484672	county in Missouri, United States
Q484675	1994 film by Luc Besson
Q484678	city in Alameda County, California, United States
Q484681	county in Mississippi, United States
Q484682	Brazilian association football player
Q484685	county in Oregon, United States
Q48469	space probe launched by NASA to study the outer Solar System
Q484706	city in Kazakhstan
Q484717	minicity in the Community of Madrid, Spain
Q484729	county in Oklahoma, United States
Q484734	county in Missouri, United States
Q48474	Italian comune
Q484740	county in Missouri, United States
Q484745	county in Nebraska, United States
Q48475	space probe launched by NASA to study the outer Solar System
Q484752	county in Oklahoma, United States
Q48475310	municipality in Trøndelag, Norway (from 2020)
Q484755	county in Missouri, United States
Q48476	Italian comune
Q484767	county in Missouri, United States
Q484772	Brazilian association football player, born 1988
Q484776	county in Missouri, United States
Q484779	French film director, writer, and producer
Q48478	island
Q484780	county in South Dakota, United States
Q484791	county in Missouri, United States
Q484799	city in Spain
Q48480	major canal in central Germany
Q48481	commune in Province of Verona
Q4848393	Australian association football player
Q484870	town in Saxony-Anhalt, Germany
Q484881	American actor (1927-2011)
Q484909	Dutch association football player and manager
Q484930	American company
Q484956	township in Atlantic County, New Jersey, United States
Q4849747	suburb of Melbourne, Victoria, Australia
Q4849756	railway station in Balaclava, Melbourne, Victoria, Australia
Q484980	American cinematographer
Q484987	2000 film by Patrick Lussier
Q484991	county in New Mexico, United States
Q485001	county in Oklahoma, United States
Q485002	football tournament
Q4850033	language
Q48500456	cycling race
Q485006	county in Oklahoma, United States
Q48501	municipality in Møre og Romsdal, Norway
Q485013	county in Oklahoma, United States
Q485017	county in Oklahoma, United States
Q485020	county in New Mexico, United States
Q485024	county in Oklahoma, United States
Q485030	county in Oklahoma, United States
Q4850300	mountain in central Pennsylvania, USA
Q485035	county in Mississippi, United States
Q485038	county in Oklahoma, United States
Q485042	county in Oklahoma, United States
Q485044	county in Oklahoma, United States
Q485047	county in Oklahoma, United States
Q485062	county in Missouri, United States
Q48508	municipality in Møre og Romsdal, Norway
Q4851619	American television series
Q485172	county seat of Washtenaw County, Michigan, United States
Q485176	city in Los Angeles County, California, United States
Q485186	county seat city of Monroe County, Florida, United States; island in Florida Keys
Q485196	French association football player
Q485204	county in Missouri, United States
Q485207	International organization based in China
Q485209	county in Northeast Missouri, United States
Q48521	municipality in Møre og Romsdal, Norway
Q485213	county in Missouri, United States
Q485224	county in Missouri, United States
Q485235	county in Missouri, United States
Q485245	county in New Mexico, United States
Q48525	national government of the United States
Q485250	county in Mississippi, United States
Q4852563	terrestrial ecoregion in Mexico
Q48526	municipality in Innlandet, Norway
Q485276	county in the state of Washington, United States
Q48529	municipality in Innlandet, Norway
Q485291	county in Nebraska, United States
Q485298	American film, television and theatre actress, activist and writer
Q4852987	metropolitan statistical area in central Maryland, United States
Q485301	county in the state of Washington, United States
Q485305	county in the state of Washington, United States
Q485310	American actor and host
Q485361	county in Iowa, United States
Q485364	county in Iowa, United States
Q485370	county in Minnesota, United States
Q485378	county in Mississippi, United States
Q485383	county in Mississippi, United States
Q485388	county in Mississippi, United States
Q485392	county in Mississippi, United States
Q485402	county in Mississippi, United States
Q485408	county in Minnesota, United States
Q485412	county in Minnesota, United States
Q48542	municipality in Innlandet, Norway
Q485420	county in Mississippi, United States
Q485426	county in Mississippi, United States
Q485429	region of Kazakhstan
Q4854306	railway station in Sagamihara, Kanagawa Prefecture, Japan
Q485434	county in Mississippi, United States
Q485437	region of Kazakhstan
Q485441	county in Mississippi, United States
Q4854440	Member of House of Saud
Q485445	county in Mississippi, United States
Q48545	municipality in Møre og Romsdal, Norway
Q485452	county in Iowa, United States
Q4854559	Thai princess
Q485457	2005 American crime drama television series
Q485460	county in Iowa, United States
Q485463	county in Iowa, United States
Q485467	county in Iowa, United States
Q485470	county in Iowa, United States
Q485474	county in Iowa, United States
Q485491	county in Iowa, United States of America
Q485496	city in Kazakhstan
Q485502	county in Ohio, United States
Q485509	county in Minnesota, United States
Q485513	county in Ohio, United States
Q485524	county in Ohio, United States
Q485526	county in Ohio, United States
Q485528	county in Ohio, United States
Q485532	county in Ohio, United States
Q485536	county in Ohio, United States
Q485539	county in Ohio, United States
Q48554	American soccer player
Q485543	county in Ohio, United States
Q485549	county in Ohio, United States
Q485553	county in Ohio, United States
Q485558	county in Ohio, United States
Q485561	county in Ohio, United States of America
Q485571	county in Ohio, United States
Q485577	county in Ohio, United States
Q485581	municipality and city in Portugal
Q485582	county in Ohio, United States
Q485588	county in Ohio, United States
Q485592	county in Ohio, United States
Q485596	county in Ohio, United States
Q48560	former municipality in Møre og Romsdal, Norway
Q485600	county in Ohio, United States
Q485610	2008 American stoner action comedy film directed by David Gordon Green
Q485615	county in Ohio, United States
Q485623	county in Nebraska, United States
Q485628	county in Ohio, United States
Q485631	county in Missouri, United States
Q485641	county in Wyoming, United States
Q485646	county in Ohio, United States
Q485650	county in Ohio, United States
Q485656	county in Minnesota, United States
Q48566	British artist (1753-1839)
Q485660	county in Alabama, United States
Q485668	American medical comedy-drama television series
Q48568	former municipality in Trøndelag in Norway
Q485683	district of Gujarat, India
Q485697	Portuguese association football player
Q485708	city in Minnesota, United States; county seat of St. Louis County
Q485710	county in Iowa, United States of America
Q485715	county in Iowa, United States
Q485716	city in Los Angeles County, California, United States
Q485724	Italian comune
Q485726	county in Iowa, United States
Q485729	county in Iowa, United States
Q485736	county in Iowa, United States
Q485741	county in Iowa, United States
Q485746	county in Iowa, United States
Q485752	county in Iowa, United States
Q48577	municipality in Rogaland, Norway
Q485780	county in Iowa, United States
Q485787	county in Iowa, United States
Q485791	county in Iowa, United States of America
Q485803	2005 feature film, adaptation of the 1950 children's fantasy novel directed by Andrew Adamson
Q485804	county in Iowa, United States
Q48581	former municipality in Troms, Norway
Q485896	county in Mississippi, United States
Q485901	American actor
Q48591	municipality in Rogaland, Norway
Q485910	county in Texas, United States
Q485920	county in Texas, United States
Q485922	county in Iowa, United States
Q485944	county in Iowa, United States
Q485956	football tournament
Q485969	county in Iowa, United States
Q48597	former municipality in Troms in Norway
Q485980	county in Iowa, United States
Q486006	county in Iowa, United States
Q486040	county in Idaho, United States
Q486043	county in Michigan, United States
Q486048	county in Kentucky, United States
Q4860559	episode of Star Trek: Voyager (S6 E3)
Q486060	county in Kentucky, United States
Q486064	county in Mississippi, United States
Q486067	county in Kentucky, United States
Q486071	county in Kentucky, United States
Q486075	county in Kentucky, United States of America
Q486078	county in Idaho, United States
Q486081	county in Kentucky, United States
Q486087	county in Kentucky, United States
Q486091	county in Missouri, United States
Q486095	county in Kentucky, United States
Q486099	county in Kentucky, United States
Q48610	municipality in Nordland, Norway
Q486103	American actress
Q486105	county in Kentucky, United States
Q486112	county in Illinois, United States
Q486118	county in Iowa, United States
Q486133	county in Georgia, United States
Q486137	county in Georgia, United States
Q4861388	1941 feature film directed by Richard Thorpe
Q486144	region of Kazakhstan
Q48615	municipality in Innlandet, Norway
Q486150	county in Georgia, United States
Q486154	county in Georgia, United States
Q486167	county in Georgia, United States
Q486168	city in San Bernardino County, California, United States
Q486179	county in Georgia, United States
Q486184	county in Iowa, United States
Q486191	county in Minnesota, United States of America
Q486198	county in Minnesota, United States
Q486210	county in Michigan, United States
Q486218	county in Minnesota, United States
Q486229	county in Minnesota, United States
Q486238	county in Minnesota, United States
Q486243	county in Minnesota, United States
Q486248	county in Minnesota, United States
Q486255	county in Minnesota, United States
Q486261	county in Minnesota, United States
Q486265	county in Minnesota, United States
Q486281	county in Minnesota, United States
Q486282	city in Kazakhstan
Q486288	county in Minnesota, United States
Q48629	municipality in Nordland, Norway
Q486293	county in Michigan, United States
Q486305	county in Minnesota, United States
Q486306	county seat of Escambia County, Florida, United States
Q486309	county in Minnesota, United States
Q486313	county in Minnesota, United States
Q486317	county in Georgia, United States
Q486325	county in Georgia, United States
Q486328	county in Illinois, United States
Q486329	capital of Fergana Province in eastern Uzbekistan
Q486336	county in Idaho, United States
Q486341	municipality in Austria
Q486344	county in Georgia, United States
Q4863478	1939 film by Gregory Ratoff
Q486348	county in Georgia, United States
Q4863545	Canadian ice hockey player
Q486357	county in Idaho, United States
Q486362	county in Georgia, United States
Q486366	county in Idaho, United States
Q48637	municipality in Innlandet, Norway
Q486370	region of Kyrgyzstan
Q486372	county in Idaho, United States
Q486376	county in Idaho, United States
Q486380	county in Idaho, United States
Q486386	county in Georgia, United States
Q486389	county in Georgia, United States
Q486394	county in Georgia, United States
Q486398	county in Georgia, United States
Q486401	county in Georgia, United States
Q486408	American actor (1931-2006)
Q486417	1969 film by Burt Kennedy
Q486435	county in Mississippi, United States
Q4864376	American actor (1908-1991)
Q486439	city in Iowa
Q486444	county in Illinois, United States
Q486448	county in Illinois, United States
Q486453	county in Illinois, United States
Q4864562	Canadian ice hockey player
Q4864570	Argentine actor
Q486458	county in Illinois, United States
Q486459	county seat of Vanderburgh County, Indiana, United States
Q486466	county in Mississippi, United States
Q4864675	American ice hockey player
Q486471	county in Illinois, United States
Q486472	county seat of Wyandotte County, Kansas, United States
Q486476	county in Illinois, United States
Q4864784	American basketball player-coach
Q486479	city in Minnesota, United States of America
Q4864809	American basketball player
Q486486	county in Illinois, United States
Q486491	county in Illinois, United States
Q486495	county in Illinois, United States
Q486499	county in Illinois, United States
Q486503	county in Illinois, United States
Q486507	county in Illinois, United States
Q486513	county in Mississippi, United States
Q486517	county in Illinois, United States
Q486530	county in Illinois, United States
Q486538	county in Mississippi, United States
Q486545	human settlement
Q4865508	Italian engraver
Q4865527	association football player from Angola
Q486562	municipality of Germany
Q48657	municipality in Troms og Finnmark, Norway
Q486588	2007 film directed by Chris Miller
Q486614	county in Oklahoma, United States
Q486621	county in Oklahoma, United States
Q486626	county in Oklahoma, United States
Q486633	county in Georgia, United States
Q486651	county in Oklahoma, United States
Q486654	county in Georgia, United States
Q486659	county in Georgia, United States
Q486664	county in Georgia, United States
Q486677	municipality in Innlandet, Norway
Q4866771	railway station in Yokohama, Kanagawa prefecture, Japan
Q48668	former municipality in Østfold in Norway
Q486696	former municipality in Østfold, Norway
Q486700	municipality in Vestland, Norway
Q486704	municipality in Viken, Norway
Q4867063	two-part episode of Star Trek: Voyager
Q486713	municipality in Innlandet, Norway
Q486717	municipality in Troms og Finnmark, Norway
Q486726	municipality in Viken, Norway
Q486736	municipality in Viken, Norway
Q48673898	2018 film by Peter Farrelly
Q486740	American television show host and comedian
Q486741	municipality in Innlandet, Norway
Q486757	county in Georgia, United States
Q486765	county in Georgia, United States
Q486778	Israeli chess player
Q48678	former municipality in Østfold in Norway
Q486791	county in Georgia, United States
Q486792	town in the Community of Madrid, Spain
Q486800	county in Georgia, United States
Q486822	1991 film by Kevin Reynolds
Q486826	1956 film by Alfred Hitchcock
Q486838	county in Georgia, United States
Q486843	county in Georgia, United States
Q486848	county in Georgia, United States
Q486860	city in Santa Clara County, California, United States
Q486868	city in Los Angeles County, California, United States
Q486874	county in Illinois, United States
Q486877	city and county seat of St. Joseph County, Indiana, United States of America
Q486883	American cinematographer
Q486913	city in Kazakhstan
Q486920	county in Kentucky, United States
Q48695	American football player and professional wrestler (1950-2001)
Q486954	2001 thriller movie directed by Dominic Sena
Q48696	municipality in Nordland, Norway
Q486961	county in Montana, United States
Q48699684	British 2018 television drama series
Q487003	county in Illinois, United States
Q48701	former municipality in Vestfold, Norway
Q487016	county in Georgia, United States
Q487070	town, district of Dessau-Roßlau
Q487089	region in Uzbekistan
Q487090	American film editor
Q487094	American cinematographer and film director
Q487119	city in Los Angeles County, California, United States
Q48717	municipality in Innlandet, Norway
Q487174	Italian comune
Q487181	2000 film by Darren Aronofsky
Q487201	county seat of Ward County, North Dakota, United States
Q487212	city in Iron County, Utah, United States
Q48723	municipality in Innlandet, Norway
Q487236	county in New Mexico, United States
Q487243	county in New Mexico, United States
Q487254	county in New Mexico, United States
Q487278	municipality of Germany
Q48728	municipality in Troms og Finnmark, Norway
Q487280	county in Ohio, United States
Q487283	county in New Mexico, United States
Q487288	county in New Mexico, United States
Q48731484	American animated series
Q487315	city in California, United States
Q487319	island in the Northern Mariana Islands in the Pacific Ocean
Q487321	national association football team
Q487322	county in Illinois, United States
Q487328	municipality of Germany
Q487334	county in Hawaii, United States
Q48734	2010 American live action film directed by Tom Dey
Q487355	American composer and conductor (1908-1971)
Q487372	region of Uzbekistan
Q487384	region of Uzbekistan
Q487403	county in Illinois, United States
Q48741246	2019 miniseries about the Chernobyl disaster
Q487415	county in Idaho, United States
Q487439	city in Kazakhstan
Q487447	2011 American animated film directed by Jennifer Yuh Nelson
Q487459	Turkish association football player
Q48750	former municipality in Rogaland, Norway
Q487502	municipality in Halland County, Sweden
Q487524	municipality in Nordland, Norway
Q487529	municipality in Hordaland, Norway
Q487532	region of Uzbekistan
Q487534	county in New Mexico, United States
Q487538	municipality in Nordland, Norway
Q487561	region of Uzbekistan
Q487564	county in New York, United States
Q487570	region of Uzbekistan
Q487572	county in New York, United States
Q487577	region of Uzbekistan
Q487578	county in New York, United States
Q48758	American detective comedy-drama television series
Q487581	county in New York, United States
Q487585	region of Uzbekistan
Q487599	county in New York, United States
Q48760	municipality in Troms og Finnmark, Norway
Q487605	county in New York, United States
Q487610	county in New York, United States
Q487616	county in New York, United States
Q487635	ice hockey player
Q487636	municipality in Nordland, Norway
Q487648	municipality in Skåne County, Sweden
Q48765	American film director and choreographer
Q487656	city in Uzbekistan
Q487677	county in Iowa, United States of America
Q487686	county in Minnesota, United States
Q48769	municipality in Innlandet, Norway
Q487692	county in Georgia, United States
Q48770	Spanish association football player
Q487704	county in Hawaii, United States
Q487711	municipality in Vestland, Norway
Q4877123	Thai princess
Q487716	county in Alabama, United States
Q487717	baseball player
Q487725	county in Alabama, United States
Q487731	county in Alabama, United States
Q487738	county in Alabama, United States
Q487744	county in Alabama, United States
Q48777	American 1972–1981 television series
Q487786	municipality of Spain
Q487801	city in Basque Country, Spain
Q487803	Russian footballer (1930-1988)
Q48782372	87th season and 117th championship of top-tier Italian men's football
Q487846	basketball player
Q4878491	1952 film by Alexander Hall
Q48784990	2018–2019 edition of the EFL Cup
Q487907	American multinational banking and financial services corporation
Q487921	city in Baden-Württemberg, Germany
Q4879282	1946 film by Mark Robson
Q487929	Italian comune
Q48794	former municipality in Møre og Romsdal, Norway
Q487977	city in Johnson County, Iowa
Q487978	1999 film by Jay Roach
Q487981	municipality in the Province of Alicante, Valencian Community, Spain
Q487983	Soviet physicist (1903-1994)
Q487988	county seat of St. Johns County, Florida, United States
Q487999	county seat of Alachua County, Florida, United States
Q488004	city in California, United States
Q488008	Soviet cosmonaut
Q48801	municipality in Troms og Finnmark, Norway
Q488026	municipality in Viken, Norway
Q488043	Soviet cosmonaut
Q488046	municipality in Nordland, Norway
Q488049	municipality in Innlandet, Norway
Q488054	municipality in Innlandet, Norway
Q488060	municipality in Møre og Romsdal, Norway
Q4880854	episode of Star Trek: Deep Space Nine (S6 E4)
Q488125	city in California
Q48813	municipality in Troms og Finnmark, Norway
Q488134	city located in south west San Bernardino County, California, United States
Q48814	city in North Macedonia
Q48815149	snooker tournament
Q48815262	snooker tournament
Q488157	former municipality in Sør-Trøndelag, Norway
Q488165	Ukrainian footballer and coach
Q488166	county in Georgia, United States
Q488171	county in Georgia, United States
Q488175	county in Georgia, United States
Q488181	county in Georgia, United States
Q488186	county in Georgia, United States
Q488194	county in Georgia, United States
Q488201	county in Georgia, United States
Q488206	county in Georgia, United States
Q48821	United States space launch site
Q488210	county in Georgia, United States
Q488219	county in Georgia, United States
Q488224	county in Georgia, United States
Q488229	municipality in Innlandet, Norway
Q488234	municipality in Vestland, Norway
Q488240	Italian comune
Q488242	municipality in Trøndelag, Norway
Q488247	former municipality in Møre og Romsdal in Norway
Q488252	municipality in Møre og Romsdal, Norway
Q488258	municipality in Troms og Finnmark, Norway
Q48827	municipality in Troms og Finnmark, Norway
Q48833	former municipality in Trøndelag, Norway
Q488335	American actor and voice actor
Q48834	county in North Dakota, United States
Q488345	2004 film by Pieter Jan Brugge
Q4883660	actress (1889-1979)
Q4883730	1944 film
Q488376	1959 film by Otto Preminger
